region,parameter,parameter_name,unit,mean,median,std,min,max,q25,q75,count
tamil_nadu,bdod,Bulk Density,kg/dm³,133.30961806612922,137.0,11.569556311138758,67.0,165.0,129.0,141.0,187179
tamil_nadu,cec,Cation Exchange Capacity,cmol(c)/kg,250.31492237715946,260.0,50.62800060608988,66.0,402.0,219.0,287.0,187316
tamil_nadu,cfvo,Coarse Fragments,vol%,109.65133907361836,105.0,36.27609730176857,31.0,264.0,80.0,135.0,187331
tamil_nadu,clay,Clay Content,%,312.65636226785745,315.0,33.4136151123808,135.0,428.0,295.0,334.0,187331
tamil_nadu,sand,Sand Content,%,403.27081476103797,392.0,58.257959378702445,253.0,767.0,368.0,424.0,187331
tamil_nadu,silt,Silt Content,%,284.44388275298803,288.0,39.289328008938156,98.0,430.0,264.0,310.0,187331
tamil_nadu,soc,Soil Organic Carbon,g/kg,345.5713040844629,320.0,126.9826860009188,148.0,1280.0,255.0,404.0,188201
tamil_nadu,ocd,Organic Carbon Density,kg/m²,308.8236016422062,293.0,60.30946078372003,183.0,648.0,268.0,336.0,187309
kerala,bdod,Bulk Density,kg/dm³,121.79085397089969,121.0,12.394562934653392,80.0,151.0,113.0,134.0,130789
kerala,cec,Cation Exchange Capacity,cmol(c)/kg,214.9430167427004,209.0,48.161672066513724,81.0,380.0,174.0,255.0,130863
kerala,cfvo,Coarse Fragments,vol%,129.327663281447,126.0,39.314056461598476,34.0,349.0,100.0,155.0,130863
kerala,clay,Clay Content,%,310.70249039071393,311.0,29.041495058302832,174.0,430.0,291.0,331.0,130863
kerala,nitrogen,Total Nitrogen,g/kg,323.89097758724773,317.0,118.83792264525762,111.0,896.0,213.0,408.0,130863
kerala,phh2o,Soil pH,pH units,59.138664099096005,56.0,6.419276299298372,50.0,81.0,54.0,65.0,130863
kerala,sand,Sand Content,%,410.78912297593666,410.0,47.43798557641382,246.0,703.0,377.0,441.0,130863
kerala,silt,Silt Content,%,278.50669784431045,281.0,38.375307032946544,122.0,426.0,255.0,304.0,130863
kerala,soc,Soil Organic Carbon,g/kg,375.60674140131283,361.0,141.4158238649175,142.0,1263.0,260.0,453.0,130863
kerala,ocd,Organic Carbon Density,kg/m²,353.2189618150279,348.0,71.12150073582121,203.0,670.0,296.0,397.0,130863
